Timestamp,Mode,FPS,Target_X,Target_Y,Error_Deg_X,Error_Deg_Y,Status
00:23:55,video,5.1,335,314,-20.869,-3.291,Aligning
00:24:05,video,3.8,814,512,12.298,10.758,Aligning
00:24:10,video,1.1,1068,614,28.175,17.639,Aligning
00:24:10,video,1.6,1137,644,31.873,19.587,Aligning
00:24:12,video,1.1,1222,676,36.081,21.587,Aligning
00:24:13,video,1.4,1221,670,35.998,21.226,Aligning
00:24:14,video,5.5,1210,662,35.495,20.728,Aligning
00:24:47,video,3.3,1046,469,26.914,7.808,Aligning
00:24:53,video,2.0,955,449,21.493,6.362,Aligning
00:24:54,video,2.1,919,452,19.271,6.587,Aligning
00:24:54,video,3.0,901,456,18.113,6.878,Aligning
00:24:54,video,2.9,893,458,17.589,7.045,Aligning
00:24:55,video,5.2,894,458,17.644,7.048,Aligning
00:24:55,video,2.8,896,460,17.794,7.128,Aligning
00:24:55,video,4.1,899,461,17.966,7.235,Aligning
00:24:56,video,2.4,901,461,18.097,7.265,Aligning
00:24:56,video,1.7,902,462,18.137,7.269,Aligning
00:24:57,video,5.6,901,462,18.109,7.276,Aligning
00:24:57,video,1.6,903,460,18.204,7.159,Aligning
00:25:17,video,3.0,889,457,17.303,6.918,Aligning
00:25:18,video,1.4,874,461,16.354,7.243,Aligning
00:25:26,video,6.8,805,461,11.707,7.217,Aligning
00:25:26,video,5.3,806,451,11.779,6.536,Aligning
00:25:26,video,5.7,804,445,11.646,6.076,Aligning
00:25:27,video,6.9,803,441,11.58,5.847,Aligning
00:25:28,video,1.2,792,429,10.78,4.986,Aligning
00:25:28,video,4.2,788,431,10.518,5.117,Aligning
00:25:29,video,1.2,783,431,10.187,5.137,Aligning
00:25:32,video,3.8,775,429,9.596,4.999,Aligning
00:25:32,video,6.5,770,429,9.263,4.991,Aligning
00:25:32,video,4.3,767,431,9.041,5.073,Aligning
00:25:34,video,1.2,749,428,7.812,4.888,Aligning
00:25:34,video,2.2,748,427,7.737,4.827,Aligning
00:25:35,video,1.6,743,425,7.365,4.659,Aligning
00:25:36,video,1.8,742,424,7.271,4.615,Aligning
00:25:36,video,2.4,737,423,6.951,4.569,Aligning
00:25:37,video,1.6,734,422,6.754,4.459,Aligning
